"","Date","Echosounder","EventStart_UTC","EventEnd_UTC","BeamTime_UTC","SlantRange_m","EK60_Data","EventId","EventDuration_min","NClicks","PerpendicularDistance_m","minClickDepth_m","maxClickDepth_m","AverageDepthError_m"
"1","7/3/2016",1,"7/3/2016 18:53","7/3/2016 19:28","2016-07-03 19:10:15",1801,"Y - active","HB1603_SPWH_Leg1_20160703_Updated_22Mar.OE20",35,999,1415.322645,481.9065479,1445.360703,25.1481588992261
"2","7/7/2016",1,"7/7/2016 19:48","7/7/2016 20:06","2016-07-07 20:00:11",2750,"Y - active","HB1603_SPWH_Leg1_20160707_Updated_20Apr.OE20",18,1070,2695.280036,228.7455833,1164.360281,38.7927947523845
"3","7/7/2016",1,"7/7/2016 20:18","7/7/2016 20:31","2016-07-07 20:20:59",1246,"Y - active","HB1603_SPWH_Leg1_20160707_Updated_20Apr.OE29",13,707,1072.733491,210.7559345,1281.979045,30.0970889410534
"4","7/7/2016",1,"7/7/2016 20:20","7/7/2016 20:37","2016-07-07 20:47:39",1351,"Y - active","HB1603_SPWH_Leg1_20160707_Updated_20Apr.OE32",17,795,1042.645951,258.9205132,1693.994783,24.9608117706501
"5","7/19/2016",1,"7/19/2016 17:47","7/19/2016 18:03","2016-07-19 18:02:43",2844,"Y - active","HB1603_SPWH_Leg2_20160719_Analyzed_3Feb.OE7",16,999,2813.981495,151.2332552,864.8236642,33.8997934418158
"6","7/25/2016",1,"7/25/2016 20:29","7/25/2016 20:57","2016-07-25 20:39:19",3381,"Y - active","HB1603_SPWH_Leg2_20160725_Updated_20Apr.OE50",28,999,3346.588625,155.5449035,975.4341208,31.7843543254445
"7","7/25/2016",1,"7/25/2016 20:50","7/25/2016 21:19","2016-07-25 21:02:23",1152,"Y - active","HB1603_SPWH_Leg2_20160725_Updated_20Apr.OE54",29,999,810.7709012,155.2833652,1394.04413,31.3700489305843
"8","7/25/2016",1,"7/25/2016 21:20","7/25/2016 21:39","2016-07-25 21:29:44",2276,"Y - active","HB1603_SPWH_Leg2_20160725_Updated_20Apr.OE61",19,684,2240.839636,126.6835999,791.1478319,35.5760639109652
"9","7/25/2016",1,"7/25/2016 21:22","7/25/2016 21:46","2016-07-25 21:34:53",861,"Y - active","HB1603_SPWH_Leg2_20160725_Updated_20Apr.OE64",24,520,162.0632354,253.2637925,1533.204214,33.5232828686214
"10","7/25/2016",1,"7/25/2016 21:28","7/25/2016 21:42","2016-07-25 21:30:27",759,"Y - active","HB1603_SPWH_Leg2_20160725_Updated_20Apr.OE62",14,451,0,175.7656861,2169.325135,46.3115686265191
"11","8/2/2016",1,"8/2/2016 20:50","8/2/2016 21:07","2016-08-02 20:50:43",991,"Y - active","HB1603_SPWH_Leg2_20160802_Updated_19Mar.OE16",17,610,949.2999939,128.6283451,699.8684203,45.3679923568059
"12","8/14/2016",1,"8/14/2016 13:17","8/14/2016 13:44","2016-08-14 13:23:54",3087,"Y - active","HB1603_SPWH_Leg3_20160814_Updated_20Apr.OE3",27,1386,3040.816901,169.5475648,1488.576261,32.5762937687176
"13","8/14/2016",1,"8/14/2016 14:54","8/14/2016 15:06","2016-08-14 14:56:46",873,"Y - active","HB1603_SPWH_Leg3_20160814_Updated_20Apr.OE9",12,362,0,343.718741,1487.326364,42.2648885200161
"14","8/14/2016",1,"8/14/2016 19:10","8/14/2016 19:26","2016-08-14 19:14:17",2187,"Y - active","HB1603_SPWH_Leg3_20160814_Updated_20Apr.OE44",16,644,2025.840185,324.8126604,1202.189394,26.7913146378086
